Estimate
0.59553736
0.4291878
0.39745164
0.694412
0.60774314
0.7420589
0.4328035
0.4595845
0.4516153
0.44417697
0.34645563
0.44506872
0.48330286
0.44066978
0.50437796
0.5449027
0.6028446
0.6138929
0.4538621
0.50853676
