Estimate
2.8841977
3.1056068
3.085463
3.1193562
2.8276129
2.6532156
2.6210613
2.800774
3.5843172
2.5320904
3.1440392
2.7705836
2.857431
2.6370616
3.5751545
3.001892
3.1826293
3.6056488
3.1020725
3.2037768
2.937519
2.6557949
3.0367424
2.795341
2.8597617
2.7874093
2.9478507
3.2744625
3.171053
3.3936405
2.562387
2.5255
2.8591897
2.9240253
3.176998
2.8626888
2.6864202
3.1918976
2.605491
3.0681057
3.2353833
3.140702
2.906533
2.6591654
2.4585838
3.4605534
3.0366905
3.1447072
2.7237442
2.9102356
2.4856408
2.4856408
2.8722124
3.7947938
2.8722124
2.4856408
2.4581296
3.9886134
2.5035686
2.4581296
2.4581296
2.4856408
3.4326963
2.6343381
9.734299
2.4955187
2.902539
2.6389165
3.070201
