Estimate
5.7889376
5.840818
5.381698
8.697677
5.8071604
7.4520845
6.1408362
5.2199225
7.9071984
5.692671
5.2969418
5.237338
6.714438
5.108049
5.7748313
6.7344966
4.2585216
5.414024
6.465928
6.99447
6.5044017
6.1492686
5.686597
5.230347
5.9892807
